         419821 function calls (408413 primitive calls) in 0.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      673    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
     1704    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       56    0.000    0.000    0.014    0.000 sre_compile.py:759(compile)
       56    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        2    0.000    0.000    0.002    0.001 pytables.py:1(<module>)
     1254    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      210    0.000    0.000    0.002    0.000 docscrape.py:216(_read_sections)
     2403    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     2603    0.000    0.000    0.000    0.000 inspect.py:2692(kind)
      799    0.000    0.000    0.000    0.000 typing.py:1271(_value_and_type_iter)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1487    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.006    0.006 frame.py:509(DataFrame)
  198/163    0.000    0.000    0.001    0.000 typing.py:1246(__hash__)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
        7    0.000    0.000    0.016    0.002 base.py:1(<module>)
       91    0.000    0.000    0.000    0.000 typing.py:284(_flatten_literal_params)
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       59    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
      105    0.000    0.000    0.000    0.000 docscrape.py:192(_strip)
      833    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      501    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
     2108    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      932    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       46    0.000    0.000    0.001    0.000 typing.py:1322(__class_getitem__)
      599    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
       59    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1527    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      501    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
1635/1503    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      143    0.000    0.000    0.010    0.000 _decorators.py:484(__call__)
       56    0.000    0.000    0.008    0.000 sre_parse.py:939(parse)
     1651    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      125    0.000    0.000    0.000    0.000 inspect.py:66(get_annotations)
       17    0.000    0.000    0.000    0.000 generic.py:36(create_pandas_abc_type)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      167    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
     2159    0.000    0.000    0.000    0.000 inspect.py:2680(name)
       52    0.000    0.000    0.000    0.000 typing.py:1349(__init_subclass__)
      270    0.000    0.000    0.004    0.000 _decorators.py:387(<listcomp>)
     2310    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       76    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       52    0.000    0.000    0.000    0.000 core.py:938(__init__)
        3    0.000    0.000    0.158    0.053 generic.py:1(<module>)
      631    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.002    0.002 series.py:263(Series)
       43    0.000    0.000    0.000    0.000 ntpath.py:463(normpath)
        3    0.000    0.000    0.008    0.003 numeric.py:1(<module>)
        6    0.000    0.000    0.006    0.001 common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 generic.py:244(NDFrame)
      105    0.000    0.000    0.021    0.000 compute.py:119(_scrape_options_class_doc)
     1924    0.000    0.000    0.000    0.000 typing.py:560(<genexpr>)
      472    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        3    0.000    0.000    0.000    0.000 expr.py:281(disallowed)
       66    0.000    0.000    0.035    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
      562    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        8    0.000    0.000    0.302    0.038 api.py:1(<module>)
      210    0.000    0.000    0.000    0.000 docscrape.py:35(__init__)
      981    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
  557/465    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        1    0.000    0.000    0.002    0.002 accessor.py:160(StringMethods)
      106    0.000    0.000    0.000    0.000 extension.py:32(_inherit_from_data)
       19    0.000    0.000    0.001    0.000 _decorators.py:307(<listcomp>)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
     1594    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      242    0.000    0.000    0.002    0.000 docscrape.py:84(read_to_next_empty_line)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       64    0.000    0.000    0.000    0.000 _decorators.py:443(__call__)
      576    0.000    0.000    0.000    0.000 typing.py:1241(__eq__)
      279    0.000    0.000    0.000    0.000 compute.py:242(_make_generic_wrapper)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      112    0.000    0.000    0.002    0.000 docscrape.py:205(_read_to_next_section)
      318    0.000    0.000    0.000    0.000 inspect.py:1872(_signature_get_user_defined_method)
      125    0.000    0.000    0.000    0.000 expr.py:193(<genexpr>)
        3    0.000    0.000    0.000    0.000 win.py:71(load_name)
      121    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      451    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.002    0.002 expr.py:1(<module>)
       95    0.000    0.000    0.000    0.000 accessor.py:94(_create_delegator_property)
      228    0.000    0.000    0.000    0.000 docscrape.py:21(strip_blank_lines)
       34    0.000    0.000    0.000    0.000 typing.py:801(__init__)
      509    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      108    0.000    0.000    0.002    0.000 abc.py:105(__new__)
      311    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
      228    0.000    0.000    0.000    0.000 docscrape.py:56(read)
        1    0.000    0.000    0.001    0.001 base.py:320(Index)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
      198    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      183    0.000    0.000    0.001    0.000 inspect.py:2696(replace)
        2    0.000    0.000    0.030    0.015 array.py:1(<module>)
        3    0.000    0.000    0.009    0.003 datetimes.py:1(<module>)
       59    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      110    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1118    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
       56    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      125    0.000    0.000    0.007    0.000 inspect.py:2991(from_callable)
      295    0.000    0.000    0.001    0.000 re.py:187(match)
       21    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
      513    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.017    0.017 _typing.py:1(<module>)
      106    0.000    0.000    0.000    0.000 inspect.py:1990(_signature_is_builtin)
       13    0.000    0.000    0.000    0.000 accessor.py:63(_add_delegate_accessors)
       19    0.000    0.000    0.002    0.000 _decorators.py:294(decorate)
        6    0.000    0.000    0.000    0.000 enum.py:553(<listcomp>)
